bioname,url,website
"TRAN, Derek",https://www.congress.gov/member/derek-tran/T000491,https://tran.house.gov/
"WHITESIDES, George",https://www.congress.gov/member/george-whitesides/W000830,https://whitesides.house.gov/
"WATERS, Maxine",https://www.congress.gov/member/maxine-waters/W000187,https://waters.house.gov/
"CALVERT, Ken",https://www.congress.gov/member/ken-calvert/C000059,https://calvert.house.gov/
"LOFGREN, Zoe",https://www.congress.gov/member/zoe-lofgren/L000397,https://lofgren.house.gov/
"SHERMAN, Brad",https://www.congress.gov/member/brad-sherman/S000344,https://sherman.house.gov/
"THOMPSON, Michael",https://www.congress.gov/member/mike-thompson/T000460,https://mikethompson.house.gov/
"CROW, Jason",https://www.congress.gov/member/jason-crow/C001121,https://crow.house.gov/
"NEGUSE, Joseph",https://www.congress.gov/member/joe-neguse/N000191,https://neguse.house.gov/
"BOEBERT, Lauren",https://www.congress.gov/member/lauren-boebert/B000825,https://boebert.house.gov/
"PETTERSEN, Brittany",https://www.congress.gov/member/brittany-pettersen/P000620,https://pettersen.house.gov/
"CRANK, Jeff",https://www.congress.gov/member/jeff-crank/C001137,https://crank.house.gov/
"EVANS, Gabe",https://www.congress.gov/member/gabe-evans/E000300,https://gabeevans.house.gov/
"HURD, Jeff",https://www.congress.gov/member/jeff-hurd/H001100,https://hurd.house.gov/
"DeGETTE, Diana",https://www.congress.gov/member/diana-degette/D000197,https://degette.house.gov/
"COURTNEY, Joe",https://www.congress.gov/member/joe-courtney/C001069,https://courtney.house.gov/
"HIMES, James A.",https://www.congress.gov/member/james-himes/H001047,https://himes.house.gov/
"HAYES, Jahana",https://www.congress.gov/member/jahana-hayes/H001081,https://hayes.house.gov/
"DeLAURO, Rosa L.",https://www.congress.gov/member/rosa-delauro/D000216,https://delauro.house.gov/
"LARSON, John B.",https://www.congress.gov/member/john-larson/L000557,https://larson.house.gov/
"MCBRIDE, Sarah",https://www.congress.gov/member/sarah-mcbride/M001238,https://mcbride.house.gov/
"DIAZ-BALART, Mario",https://www.congress.gov/member/mario-diaz-balart/D000600,https://mariodiazbalart.house.gov/
"WASSERMAN SCHULTZ, Debbie",https://www.congress.gov/member/debbie-wasserman-schultz/W000797,https://wassermanschultz.house.gov/
"CASTOR, Kathy",https://www.congress.gov/member/kathy-castor/C001066,https://castor.house.gov/
"BUCHANAN, Vernon G.",https://www.congress.gov/member/vern-buchanan/B001260,https://buchanan.house.gov/
"BILIRAKIS, Gus",https://www.congress.gov/member/gus-bilirakis/B001257,https://bilirakis.house.gov/
"WEBSTER, Daniel A.",https://www.congress.gov/member/daniel-webster/W000806,https://webster.house.gov/
"WILSON, Frederica",https://www.congress.gov/member/frederica-wilson/W000808,https://wilson.house.gov/
"FRANKEL, Lois",https://www.congress.gov/member/lois-frankel/F000462,https://frankel.house.gov/
"DUNN, Neal Patrick",https://www.congress.gov/member/neal-dunn/D000628,https://dunn.house.gov/
"MAST, Brian Jeffery",https://www.congress.gov/member/brian-mast/M001199,https://mast.house.gov/
"RUTHERFORD, John Henry",https://www.congress.gov/member/john-rutherford/R000609,https://rutherford.house.gov/
"SOTO, Darren Michael",https://www.congress.gov/member/darren-soto/S001200,https://soto.house.gov/
"STEUBE, William",https://www.congress.gov/member/w-steube/S001214,https://steube.house.gov/
"WALTZ, Michael",https://www.congress.gov/member/michael-waltz/W000823,
"CAMMACK, Kat",https://www.congress.gov/member/kat-cammack/C001039,https://cammack.house.gov/
"DONALDS, Byron",https://www.congress.gov/member/byron-donalds/D000032,https://donalds.house.gov/
"FRANKLIN, C. Scott",https://www.congress.gov/member/scott-franklin/F000472,https://franklin.house.gov/
"GIMENEZ, Carlos A.",https://www.congress.gov/member/carlos-gimenez/G000593,https://gimenez.house.gov/
"SALAZAR, Maria Elvira",https://www.congress.gov/member/maria-salazar/S000168,https://salazar.house.gov/
"CHERFILUS-MCCORMICK, Sheila",https://www.congress.gov/member/sheila-cherfilus-mccormick/C001127,https://cherfilus-mccormick.house.gov/
"BEAN, Aaron",https://www.congress.gov/member/aaron-bean/B001314,https://bean.house.gov/
"FROST, Maxwell",https://www.congress.gov/member/maxwell-frost/F000476,https://frost.house.gov/
"LEE, Laurel",https://www.congress.gov/member/laurel-lee/L000597,https://laurellee.house.gov/
"LUNA, Anna",https://www.congress.gov/member/anna-paulina-luna/L000596,https://luna.house.gov/
"MILLS, Cory",https://www.congress.gov/member/cory-mills/M001216,https://mills.house.gov/
"MOSKOWITZ, Jared",https://www.congress.gov/member/jared-moskowitz/M001217,https://moskowitz.house.gov/
"HARIDOPOLOS, Mike",https://www.congress.gov/member/mike-haridopolos/H001099,https://haridopolos.house.gov/
"SCOTT, David",https://www.congress.gov/member/david-scott/S001157,https://davidscott.house.gov/
"SCOTT, Austin",https://www.congress.gov/member/austin-scott/S001189,https://austinscott.house.gov/
"CARTER, Buddy",https://www.congress.gov/member/earl-carter/C001103,https://buddycarter.house.gov/
"LOUDERMILK, Barry D.",https://www.congress.gov/member/barry-loudermilk/L000583,https://loudermilk.house.gov/
"ALLEN, Rick W.",https://www.congress.gov/member/rick-allen/A000372,https://allen.house.gov/
"McBATH, Lucy",https://www.congress.gov/member/lucy-mcbath/M001208,https://mcbath.house.gov/
"CLYDE, Andrew S.",https://www.congress.gov/member/andrew-clyde/C001116,https://clyde.house.gov/
"GREENE, Marjorie Taylor",https://www.congress.gov/member/marjorie-greene/G000596,https://greene.house.gov/
"WILLIAMS, Nikema",https://www.congress.gov/member/nikema-williams/W000788,https://nikemawilliams.house.gov/
"COLLINS, Mike",https://www.congress.gov/member/mike-collins/C001129,https://collins.house.gov/
"MCCORMICK, Rich",https://www.congress.gov/member/richard-mccormick/M001218,https://mccormick.house.gov/
"JACK, Brian",https://www.congress.gov/member/brian-jack/J000311,https://jack.house.gov/
"BISHOP, Sanford Dixon, Jr.",https://www.congress.gov/member/sanford-bishop/B000490,https://bishop.house.gov/
"CASE, Ed",https://www.congress.gov/member/ed-case/C001055,https://case.house.gov/
"TOKUDA, Jill",https://www.congress.gov/member/jill-tokuda/T000487,https://tokuda.house.gov/
"FULCHER, Russell",https://www.congress.gov/member/russ-fulcher/F000469,https://fulcher.house.gov/
"SIMPSON, Michael K.",https://www.congress.gov/member/michael-simpson/S001148,https://simpson.house.gov/
"FOSTER, Bill",https://www.congress.gov/member/bill-foster/F000454,https://foster.house.gov/
"QUIGLEY, Mike",https://www.congress.gov/member/mike-quigley/Q000023,https://quigley.house.gov/
"SCHNEIDER, Brad",https://www.congress.gov/member/bradley-schneider/S001190,https://schneider.house.gov/
"KELLY, Robin L.",https://www.congress.gov/member/robin-kelly/K000385,https://robinkelly.house.gov/
"BOST, Mike",https://www.congress.gov/member/mike-bost/B001295,https://bost.house.gov/
"LaHOOD, Darin",https://www.congress.gov/member/darin-lahood/L000585,https://lahood.house.gov/
"KRISHNAMOORTHI, S. Raja",https://www.congress.gov/member/raja-krishnamoorthi/K000391,https://krishnamoorthi.house.gov/
"CASTEN, Sean",https://www.congress.gov/member/sean-casten/C001117,https://casten.house.gov/
"GARCÍA, Jesús",https://www.congress.gov/member/jesus-garcia/G000586,https://chuygarcia.house.gov/
"UNDERWOOD, Lauren",https://www.congress.gov/member/lauren-underwood/U000040,https://underwood.house.gov/
"MILLER, Mary E.",https://www.congress.gov/member/mary-miller/M001211,https://marymiller.house.gov/
"BUDZINSKI, Nikki",https://www.congress.gov/member/nikki-budzinski/B001315,https://budzinski.house.gov/
"JACKSON, Jonathan",https://www.congress.gov/member/jonathan-jackson/J000309,https://jonathanjackson.house.gov/
"RAMIREZ, Delia",https://www.congress.gov/member/delia-ramirez/R000617,https://ramirez.house.gov/
"SORENSEN, Eric",https://www.congress.gov/member/eric-sorensen/S001225,https://sorensen.house.gov/
"DAVIS, Danny K.",https://www.congress.gov/member/danny-davis/D000096,https://davis.house.gov/
"SCHAKOWSKY, Janice D.",https://www.congress.gov/member/janice-schakowsky/S001145,https://schakowsky.house.gov/
"CARSON, André",https://www.congress.gov/member/andre-carson/C001072,https://carson.house.gov/
"STUTZMAN, Marlin",https://www.congress.gov/member/marlin-stutzman/S001188,https://stutzman.house.gov/
"BAIRD, James",https://www.congress.gov/member/james-baird/B001307,https://baird.house.gov/
"MRVAN, Frank J.",https://www.congress.gov/member/frank-mrvan/M001214,https://mrvan.house.gov/
"SPARTZ, Victoria",https://www.congress.gov/member/victoria-spartz/S000929,https://spartz.house.gov/
"YAKYM, Rudy, III",https://www.congress.gov/member/rudy-yakym/Y000067,https://yakym.house.gov/
"HOUCHIN, Erin",https://www.congress.gov/member/erin-houchin/H001093,https://houchin.house.gov/
"MESSMER, Mark B.",https://www.congress.gov/member/mark-messmer/M001233,https://messmer.house.gov/
"SHREVE, Jefferson",https://www.congress.gov/member/jefferson-shreve/S001229,https://shreve.house.gov/
"FEENSTRA, Randy",https://www.congress.gov/member/randy-feenstra/F000446,https://feenstra.house.gov/
