Election Type,Name Raw,Office,Party,State Name,County,Precinct,State Fip,CountyFIPS 3,Jurisdiction,Votes
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670021,37,167,0021,107
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670028,37,167,0028,369
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670011,37,167,0011,208
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670016,37,167,0016,268
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670014,37,167,0014,154
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670025,37,167,0025,315
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670003,37,167,0003,673
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670022,37,167,0022,265
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670023,37,167,0023,253
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670020,37,167,0020,204
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670014,37,167,0014,14
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670011,37,167,0011,30
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670016,37,167,0016,16
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670003,37,167,0003,34
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670020,37,167,0020,22
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670023,37,167,0023,37
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670022,37,167,0022,26
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670025,37,167,0025,58
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670015,37,167,0015,19
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670013,37,167,0013,25
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670018,37,167,0018,25
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670019,37,167,0019,23
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670017,37,167,0017,35
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670007,37,167,0007,57
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670027,37,167,0027,40
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670024,37,167,0024,42
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670026,37,167,0026,24
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670002,37,167,0002,38
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670008,37,167,0008,11
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670010,37,167,0010,29
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670012,37,167,0012,14
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670028,37,167,0028,33
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670021,37,167,0021,12
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Stanly,371670008,37,167,0008,130
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Stanly,371670002,37,167,0002,560
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Stanly,371670021,37,167,0021,908
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Stanly,371670028,37,167,0028,589
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Stanly,371670003,37,167,0003,909
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Stanly,371670022,37,167,0022,1064
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Stanly,371670023,37,167,0023,1758
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Stanly,371670025,37,167,0025,1859
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Stanly,371670020,37,167,0020,1528
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Stanly,371670011,37,167,0011,757
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Stanly,371670016,37,167,0016,627
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Stanly,371670014,37,167,0014,611
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Stanly,371670018,37,167,0018,632
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Stanly,371670015,37,167,0015,572
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Stanly,371670013,37,167,0013,1043
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Stanly,371670007,37,167,0007,928
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Stanly,371670026,37,167,0026,922
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Stanly,371670024,37,167,0024,1927
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Stanly,371670027,37,167,0027,1286
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Stanly,371670010,37,167,0010,618
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Stanly,371670012,37,167,0012,605
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Stanly,371670019,37,167,0019,990
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Stanly,371670017,37,167,0017,1141
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Swain,37173ALARKA,37,173,ALARKA,2
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Swain,37173ALMOND,37,173,ALMOND,11
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Swain,37173WHCH,37,173,WHCH,45
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Swain,37173BC1,37,173,BC1,19
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Swain,37173BC2,37,173,BC2,17
general,Jill Stein,US PRESIDENT,,North Carolina,Swain,37173BC1,37,173,BC1,0
general,Jill Stein,US PRESIDENT,,North Carolina,Swain,37173ALMOND,37,173,ALMOND,9
general,Jill Stein,US PRESIDENT,,North Carolina,Swain,37173BC2,37,173,BC2,5
general,Jill Stein,US PRESIDENT,,North Carolina,Swain,37173ALARKA,37,173,ALARKA,6
general,Jill Stein,US PRESIDENT,,North Carolina,Swain,37173WHCH,37,173,WHCH,9
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Swain,37173WHCH,37,173,WHCH,780
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Swain,37173ALARKA,37,173,ALARKA,163
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Swain,37173ALMOND,37,173,ALMOND,282
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Swain,37173BC1,37,173,BC1,445
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Swain,37173BC2,37,173,BC2,526
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Swain,37173ALMOND,37,173,ALMOND,34
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Swain,37173ALARKA,37,173,ALARKA,11
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Swain,37173WHCH,37,173,WHCH,92
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Swain,37173BC2,37,173,BC2,36
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Swain,37173BC1,37,173,BC1,67
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Swain,37173BC1,37,173,BC1,987
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Swain,37173BC2,37,173,BC2,937
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Swain,37173WHCH,37,173,WHCH,682
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Swain,37173ALARKA,37,173,ALARKA,387
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Swain,37173ALMOND,37,173,ALMOND,572
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163HARR,37,163,HARR,2
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163ROWA,37,163,ROWA,1
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163SBRG,37,163,SBRG,1
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163GARL,37,163,GARL,1
